PMID,Assay,Antigen,Assay_cutpoint,ageStart,ageEnd,ageMid,N,N_positive
28531224,ELISA IgG,,,0,0.0833333333333333,0.0416666666666667,48,48
28531224,ELISA IgG,,,0.0833333333333333,0.166666666666667,0.125,48,44
28531224,ELISA IgG,,,0.166666666666667,0.25,0.208333333333333,48,36
28531224,ELISA IgG,,,0.25,0.333333333333333,0.291666666666667,48,31
28531224,ELISA IgG,,,0.333333333333333,0.416666666666667,0.375,48,22
28531224,ELISA IgG,,,0.416666666666667,0.5,0.458333333333333,48,13
28531224,ELISA IgG,,,0.5,0.583333333333333,0.541666666666667,48,12
28531224,ELISA IgG,,,0.583333333333333,0.666666666666667,0.625,48,19
28531224,ELISA IgG,,,0.666666666666667,0.75,0.708333333333333,48,17
28531224,ELISA IgG,,,0.75,0.833333333333333,0.791666666666667,48,21
28531224,ELISA IgG,,,0.833333333333333,0.916666666666667,0.875,48,19
28531224,ELISA IgG,,,0.916666666666667,1,0.916666666666667,48,20
28531224,ELISA IgG,,,1,1.25,1.125,48,25
28531224,ELISA IgG,,,1.25,1.5,1.375,48,27
28531224,ELISA IgG,,,1.5,2,1.75,48,40
28531224,ELISA IgG,,,2,3,2.5,48,45
28531224,ELISA IgG,,,3,5,4,48,48
28531224,ELISA IgG,,,5,7,6,48,48
28531224,ELISA IgG,,,7,9,8,48,48
28531224,ELISA IgG,,,9,12.0833333333333,10.5416666666667,48,48
31012488,ELISA IgG,,,0,0,0,100,100
31012488,ELISA IgG,,,0.25,0.25,0.25,80,57
31012488,ELISA IgG,,,0.5,0.5,0.5,150,149
31012488,ELISA IgG,,,0.75,0.75,0.75,150,11
31012488,ELISA IgG,,,1,1,1,150,10
31012488,ELISA IgG,,,1.25,1.25,1.25,150,24
31012488,ELISA IgG,,,1.33333333333333,2,1.66666666666667,31,20
31012488,ELISA IgG,,,2.08333333333333,3,2.54166666666667,49,33
31012488,ELISA IgG,,,4,4,4,62,59
31012488,ELISA IgG,,,5,5,5,61,56
31012488,ELISA IgG,,,6,10,8,134,122
31012488,ELISA IgG,,,11,15,13,139,128
31012488,ELISA IgG,,,16,35,25.5,51,49
31012488,ELISA IgG,,,36,60,48,44,42
31012488,ELISA IgG,,,61,70,65.5,69,64
31012488,ELISA IgG,,,71,85,78,55,54
19080178,ELISA IgG,,,0,0.416666666666667,0.208333333333333,47,32
19080178,ELISA IgG,,,0.5,0.916666666666667,0.708333333333333,50,33
19080178,ELISA IgG,,,1,1.91666666666667,1.45833333333333,110,90
19080178,ELISA IgG,,,2,2.91666666666667,2.45833333333333,30,27
19080178,ELISA IgG,,,3,6,4.5,87,86
22748150,ELISA IgG ,F,,0,2,1,80,29
22748150,ELISA IgG ,F,,2,9,5.5,7,5
22748150,ELISA IgG ,F,,10,19,14.5,43,41
22748150,ELISA IgG ,F,,20,29,24.5,772,733
22748150,ELISA IgG ,F,,30,39,34.5,417,397
22748150,ELISA IgG ,F,,40,49,44.5,281,269
22748150,ELISA IgG ,F,,50,59,54.5,134,123
22748150,ELISA IgG ,F,,60,69,64.5,52,50
22748150,ELISA IgG ,F,,70,79,74.5,19,18
22748150,ELISA IgG ,F,,80,89,84.5,6,5
21310026,ELISA IgG ,N,,0.0833333333333333,0.5,0.291666666666667,42,30
21310026,ELISA IgG ,N,,0.5,1,0.75,58,49
21310026,ELISA IgG ,N,,1,3,2,85,76
21310026,ELISA IgG ,N,,3,6,4.5,93,89
21310026,ELISA IgG ,N,,6,20,13,122,119
21310026,ELISA IgG ,N,,20,40,30,248,248
21310026,ELISA IgG ,N,,40,60,50,328,328
21310026,ELISA IgG ,N,,60,80,70,180,180
1335108,Neutralization,Whole virus,,0,0.5,0.25,169,150
1335108,Neutralization,Whole virus,,0.5,1,0.75,153,99
1335108,Neutralization,Whole virus,,1,2,1.5,195,145
1335108,Neutralization,Whole virus,,2,3,2.5,215,169
1335108,Neutralization,Whole virus,,3,4,3.5,213,186
1335108,Neutralization,Whole virus,,4,6,5,443,415
1335108,Neutralization,Whole virus,,6,9,7.5,472,451
1335108,Neutralization,Whole virus,,9,12,10.5,405,378
1335108,Neutralization,Whole virus,,12,15,13.5,249,232
4341999,CF,Whole virus,,0,1,0.5,25,4
4341999,CF,Whole virus,,1,3,2,66,17
4341999,CF,Whole virus,,3,5,4,76,33
4341999,CF,Whole virus,,5,7,6,58,20
4341999,CF,Whole virus,,7,9,8,62,25
4341999,CF,Whole virus,,9,11,10,71,31
4341999,CF,Whole virus,,11,20,15.5,81,36
4341999,CF,Whole virus,,20,40,30,61,21
4341999,CF,Whole virus,,40,60,50,58,21
13936211,CF,Whole virus,,0,0.166666666666667,0.0833333333333333,6,5
13936211,CF,Whole virus,,0.25,0.5,0.375,15,5
13936211,CF,Whole virus,,0.583333333333333,1,0.791666666666667,16,6
13936211,CF,Whole virus,,1,2,1.5,19,8
13936211,CF,Whole virus,,3,5,4,14,13
13936211,CF,Whole virus,,6,15,10.5,9,8
13936211,CF,Whole virus,,16,18,17,70,58
165720,CF,Whole virus,,0,1,0.5,21,1
165720,CF,Whole virus,,1,1,1,33,3
165720,CF,Whole virus,,2,2,2,33,5
165720,CF,Whole virus,,3,3,3,44,5
165720,CF,Whole virus,,4,4,4,45,4
165720,CF,Whole virus,,5,9,7,256,72
165720,CF,Whole virus,,10,14,12,172,41
165720,CF,Whole virus,,15,18,16.5,38,17
4468943,CF,Whole virus,,0,5,2.5,30,3
4468943,CF,Whole virus,,6,10,8,28,2
4468943,CF,Whole virus,,11,15,13,30,5
4468943,CF,Whole virus,,16,20,18,29,10
4468943,CF,Whole virus,,21,25,13,36,8
4468943,CF,Whole virus,,26,30,28,31,2
4468943,CF,Whole virus,,31,35,33,32,5
4468943,CF,Whole virus,,36,40,38,36,3
4468943,CF,Whole virus,,41,60,50.5,64,4
